,sample.id,EV1,EV2,EV3,EV4,,,,,Type,Cultivar,,Group,core,Phylos_type,Type_final
282,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Flo_a1_SRR4448400_1_THC_Dominant_sorted.bam,0.0027958,0.00127828,-0.0089676,0.05558416,Flo_a1,_,SRR4448400_1,_,Type_I_,Flo_a1_SRR4448400_1_Type_I_,Flo_a1_SRR4448400_1_Type_I_,Group 1,,Hemp,Hemp
108,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Blueberry_Diesel_a1_SRR4448406_1_THC_Dominant_sorted.bam,0.00687304,0.03156444,-0.0133447,0.04896292,Blueberry_Diesel_a1,_,SRR4448406_1,_,Type_I_,Blueberry_Diesel_a1_SRR4448406_1_Type_I_,Blueberry_Diesel_a1_SRR4448406_1_Type_I_,Group 3,,Hemp,Hemp
238,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Diablo_a1_SRR4448408_1_THC_Dominant_sorted.bam,-0.0215235,0.05222221,0.02614731,0.03954221,Diablo_a1,_,SRR4448408_1,_,Type_I_,Diablo_a1_SRR4448408_1_Type_I_,Diablo_a1_SRR4448408_1_Type_I_,Group 3,,Hemp,Hemp
397,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Jah_Goo_a1_SRR4448417_1_THC_Dominant_sorted.bam,0.01707621,0.00443595,0.00782198,0.04963509,Jah_Goo_a1,_,SRR4448417_1,_,Type_I_,Jah_Goo_a1_SRR4448417_1_Type_I_,Jah_Goo_a1_SRR4448417_1_Type_I_,Group 1,,Hemp,Hemp
520,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Northern_Cali_Gooey_a1_SRR4448423_1_THC_Dominant_sorted.bam,0.02073224,0.00149416,0.01587008,0.06603797,Northern_Cali_Gooey_a1,_,SRR4448423_1,_,Type_I_,Northern_Cali_Gooey_a1_SRR4448423_1_Type_I_,Northern_Cali_Gooey_a1_SRR4448423_1_Type_I_,Group 1,,Hemp,Hemp
43,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Afgooey_a1_SRR4448427_1_THC_Dominant_sorted.bam,-0.0013465,0.00219547,-0.0066725,0.05304382,Afgooey_a1,_,SRR4448427_1,_,Type_I_,Afgooey_a1_SRR4448427_1_Type_I_,Afgooey_a1_SRR4448427_1_Type_I_,Group 1,,Hemp,Hemp
193,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Chocolate_Chunk_a1_SRR4448430_1_THC_Dominant_sorted.bam,0.01940953,0.00198899,0.02830968,-0.0249492,Chocolate_Chunk_a1,_,SRR4448430_1,_,Type_I_,Chocolate_Chunk_a1_SRR4448430_1_Type_I_,Chocolate_Chunk_a1_SRR4448430_1_Type_I_,Group 2,,Hemp,Hemp
586,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/PitBull_a1_SRR4448439_1_THC_Dominant_sorted.bam,0.01445571,-0.0013408,-0.0261979,-0.0108178,PitBull_a1,_,SRR4448439_1,_,Type_I_,PitBull_a1_SRR4448439_1_Type_I_,PitBull_a1_SRR4448439_1_Type_I_,Group 4,,Hemp,Hemp
573,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Perseus_Indy_99_a1_SRR4448440_1_UNKNOWN_sorted.bam,0.02302546,0.04147715,-0.0205862,-0.015363,Perseus_Indy_99_a1,_,SRR4448440_1,_,UNKNOWN,Perseus_Indy_99_a1_SRR4448440_1_UNKNOWN,Perseus_Indy_99_a1_SRR4448440_1_UNKNOWN,Group 2,,Hemp,Hemp
324,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Grape_Ape_a1_SRR4448448_1_THC_Dominant_sorted.bam,0.01043124,0.03118884,0.00411316,-0.0082305,Grape_Ape_a1,_,SRR4448448_1,_,Type_I_,Grape_Ape_a1_SRR4448448_1_Type_I_,Grape_Ape_a1_SRR4448448_1_Type_I_,Group 3,,Hemp,Hemp
748,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Tangerine_a1_SRR4448449_1_THC_Dominant_sorted.bam,0.00452798,-0.0033603,-0.0021078,0.01668465,Tangerine_a1,_,SRR4448449_1,_,Type_I_,Tangerine_a1_SRR4448449_1_Type_I_,Tangerine_a1_SRR4448449_1_Type_I_,Group 1,,Hemp,Hemp
738,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Super_Skunk_a1_SRR4448455_1_THC_Dominant_sorted.bam,0.02021207,2.43E-05,0.01737776,0.06137807,Super_Skunk_a1,_,SRR4448455_1,_,Type_I_,Super_Skunk_a1_SRR4448455_1_Type_I_,Super_Skunk_a1_SRR4448455_1_Type_I_,Group 1,,Hemp,Hemp
450,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Lavender_b1_SRR4448464_1_THC_Dominant_sorted.bam,0.01705873,0.01933898,0.01048537,0.04513288,Lavender_b1,_,SRR4448464_1,_,Type_I_,Lavender_b1_SRR4448464_1_Type_I_,Lavender_b1_SRR4448464_1_Type_I_,Group 1,,Hemp,Hemp
784,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Triffid_a1_SRR4448471_1_UNKNOWN_sorted.bam,0.03589423,0.0250984,-0.0203604,-0.0113574,Triffid_a1,_,SRR4448471_1,_,UNKNOWN,Triffid_a1_SRR4448471_1_UNKNOWN,Triffid_a1_SRR4448471_1_UNKNOWN,Group 2,,Hemp,Hemp
123,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Blue_Light_Special_a1_SRR4448472_1_THC_Dominant_sorted.bam,0.01726781,0.01561648,0.00427075,-0.0112255,Blue_Light_Special_a1,_,SRR4448472_1,_,Type_I_,Blue_Light_Special_a1_SRR4448472_1_Type_I_,Blue_Light_Special_a1_SRR4448472_1_Type_I_,Group 2,,Hemp,Hemp
363,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Hippie_Crippler_a1_SRR4448476_1_THC_Dominant_sorted.bam,0.03254966,0.0211853,0.01656921,-0.0035563,Hippie_Crippler_a1,_,SRR4448476_1,_,Type_I_,Hippie_Crippler_a1_SRR4448476_1_Type_I_,Hippie_Crippler_a1_SRR4448476_1_Type_I_,Group 2,,Hemp,Hemp
