name,hcpc_order,BAR,check
Chiang_Mai_Thailand_a1_Unknown,130,Unknown,Chiang_Mai_Thailand_a1_Unknown
Mexico_Oaxaca_a1_Landrace,131,Landrace,Mexico_Oaxaca_a1_Landrace
Ethiopian_1_a1_Landrace,132,Landrace,Ethiopian_1_a1_Landrace
India_Vidaypur_a1_Unknown,133,Unknown,India_Vidaypur_a1_Unknown
AC_DC_x_finals_a1_Type III,134,Type III,AC_DC_x_finals_a1_Type III
23_a1_Type III,135,Type III,23_a1_Type III
HarleTsu_a1_Type III,136,Type III,HarleTsu_a1_Type III
El_Nino_a1_Landrace,137,Landrace,El_Nino_a1_Landrace
Colombia_Taganga_a1_Landrace,138,Landrace,Colombia_Taganga_a1_Landrace
Malawi_a1_Landrace,139,Landrace,Malawi_a1_Landrace
Remedy_29_192_a1_Type III,140,Type III,Remedy_29_192_a1_Type III
Harlequin_d1_Type III,141,Type III,Harlequin_d1_Type III
Harlequin_a1_Type III,142,Type III,Harlequin_a1_Type III
Harlequin_e1_Type III,143,Type III,Harlequin_e1_Type III
Harlequinn_1_a1_Type III,144,Type III,Harlequinn_1_a1_Type III
Harlequin_f1_Type III,145,Type III,Harlequin_f1_Type III
Harliquen_g1_Type III,146,Type III,Harliquen_g1_Type III
Harlequin_b1_Type III,147,Type III,Harlequin_b1_Type III
Harliquinn_h1_Type III,148,Type III,Harliquinn_h1_Type III
Swiss_Gold_a1_Type I,149,Type I,Swiss_Gold_a1_Type I
Harlee_TSU_a1_Hemp,150,Hemp,Harlee_TSU_a1_Hemp
Strawberry_b1_Type I,151,Type I,Strawberry_b1_Type I
White_Widow_1.1_a1_Landrace,152,Landrace,White_Widow_1.1_a1_Landrace
White_Widow_b1_Landrace,153,Landrace,White_Widow_b1_Landrace
C3_a1_Type I,154,Type I,C3_a1_Type I
Northern_Lights_x_L5_Haze_a1_Type I,155,Type I,Northern_Lights_x_L5_Haze_a1_Type I
Pakistan_Valley_Kush_a1_Hemp,156,Hemp,Pakistan_Valley_Kush_a1_Hemp
Honduras_a1_Unknown,157,Unknown,Honduras_a1_Unknown
Yugoslavia_a1_Landrace,158,Landrace,Yugoslavia_a1_Landrace
Odnodomnaya_Poland_a1_Landrace,159,Landrace,Odnodomnaya_Poland_a1_Landrace
Tian_Shui_Giansu_China_b1_Landrace,160,Landrace,Tian_Shui_Giansu_China_b1_Landrace
PurPur_TI_a1_Hemp,161,Hemp,PurPur_TI_a1_Hemp
Presidential_Kush_1_a1_Type I,162,Type I,Presidential_Kush_1_a1_Type I
Kashmir_a1_Unknown,163,Unknown,Kashmir_a1_Unknown
Sweet_Island_Skunk_a1_Hemp,164,Hemp,Sweet_Island_Skunk_a1_Hemp
Laspur_Gold_Pakistan_a1_Landrace,165,Landrace,Laspur_Gold_Pakistan_a1_Landrace
Yarkhun_E_a1_Unknown,166,Unknown,Yarkhun_E_a1_Unknown
Mexican_a1_Landrace,167,Landrace,Mexican_a1_Landrace
Afghan_a1_Hemp,168,Hemp,Afghan_a1_Hemp
Thailand_b1_Landrace,169,Landrace,Thailand_b1_Landrace
Denmark_a1_Type I,170,Type I,Denmark_a1_Type I
Blotter_e1_Hemp,171,Hemp,Blotter_e1_Hemp
PPA_a1_Unknown,172,Unknown,PPA_a1_Unknown
Hawaiian_Dutch_a1_Hemp,173,Hemp,Hawaiian_Dutch_a1_Hemp
Highland_Oaxacan_a1_Type I,174,Type I,Highland_Oaxacan_a1_Type I
NYC_Diesel_06_a1_Hemp,175,Hemp,NYC_Diesel_06_a1_Hemp
Yunnan_China_a1_Unknown,176,Unknown,Yunnan_China_a1_Unknown
Durban_Poison_c1_Unknown,177,Unknown,Durban_Poison_c1_Unknown
Durban_Poison_a1_Type I,178,Type I,Durban_Poison_a1_Type I
India_Khandwa_a1_Landrace,179,Landrace,India_Khandwa_a1_Landrace
Cotton_Candy_a1_Hemp,180,Hemp,Cotton_Candy_a1_Hemp
Durban_Poison_g1_Hemp,181,Hemp,Durban_Poison_g1_Hemp
Pakistan_b1_Landrace,182,Landrace,Pakistan_b1_Landrace
Laughing_Buddha_a1_Landrace,183,Landrace,Laughing_Buddha_a1_Landrace
Mexico_Verde_Limon_a1_Hemp,184,Hemp,Mexico_Verde_Limon_a1_Hemp
Mango_Zamal_a1_Landrace,185,Landrace,Mango_Zamal_a1_Landrace
Tangerine_b1_Hemp,186,Hemp,Tangerine_b1_Hemp
Tangerine_a1_Hemp,187,Hemp,Tangerine_a1_Hemp
Swaziland_great_a1_Landrace,188,Landrace,Swaziland_great_a1_Landrace
Black_Widow_1_a1_Type I,189,Type I,Black_Widow_1_a1_Type I
Stella_Blues_x_Wako_Haze_a1_Hemp,190,Hemp,Stella_Blues_x_Wako_Haze_a1_Hemp
Black_Trinity_b1_Hemp,191,Hemp,Black_Trinity_b1_Hemp
Kali_21_China_a1_Type I,192,Type I,Kali_21_China_a1_Type I
Schrom_a1_Unknown,193,Unknown,Schrom_a1_Unknown
Cookies_a1_Unknown,194,Unknown,Cookies_a1_Unknown
Cannatonic_g1_Type III,195,Type III,Cannatonic_g1_Type III
Cannatonic_f1_Type III,196,Type III,Cannatonic_f1_Type III
A_Charlots_Web_a1_Type III,197,Type III,A_Charlots_Web_a1_Type III
Cannatonic_x_AC_DC_a1_Type III,198,Type III,Cannatonic_x_AC_DC_a1_Type III
AC_DC_a1_Type III,199,Type III,AC_DC_a1_Type III
AC_DC_g1_Type III,200,Type III,AC_DC_g1_Type III
AC_DC_h1_Type III,201,Type III,AC_DC_h1_Type III
AC_DC_b1_Type III,202,Type III,AC_DC_b1_Type III
AC_DC_e1_Unknown,203,Unknown,AC_DC_e1_Unknown
S.T.U_ACDC_a1_Type III,204,Type III,S.T.U_ACDC_a1_Type III
AC_DC_i1_Type III,205,Type III,AC_DC_i1_Type III
Odyssey_a1_Type III,206,Type III,Odyssey_a1_Type III
S.P._ACDC_a1_Type III,207,Type III,S.P._ACDC_a1_Type III
YMCA_3_a1_Type III,208,Type III,YMCA_3_a1_Type III
Sour_Tsunami_b1_Type III,209,Type III,Sour_Tsunami_b1_Type III
AC_DC_j1_Type III,210,Type III,AC_DC_j1_Type III
AC_DC_f1_Type III,211,Type III,AC_DC_f1_Type III
Mandarin_Sunset_b1_Type I,212,Type I,Mandarin_Sunset_b1_Type I
Oregon_Pinot_Noir_a1_Hemp,213,Hemp,Oregon_Pinot_Noir_a1_Hemp
Richard_VI_a1_Hemp,214,Hemp,Richard_VI_a1_Hemp
South_Sound_Tonic_a1_Type I,215,Type I,South_Sound_Tonic_a1_Type I
5_Pheno_c1_Type I,216,Type I,5_Pheno_c1_Type I
Banana_OG_a1_Type I,217,Type I,Banana_OG_a1_Type I
Chernobyl_b1_Type I,218,Type I,Chernobyl_b1_Type I
Chernobyl_d1_Type I,219,Type I,Chernobyl_d1_Type I
Chernobyl_a1_Type I,220,Type I,Chernobyl_a1_Type I
Pineapple_a1_Type I,221,Type I,Pineapple_a1_Type I
Ice_Queen_a1_Type I,222,Type I,Ice_Queen_a1_Type I
Golden_Pineapple_a1_Type I,223,Type I,Golden_Pineapple_a1_Type I
Chernobyl_c1_Type I,224,Type I,Chernobyl_c1_Type I
Chocolate_Chunk_a1_Hemp,225,Hemp,Chocolate_Chunk_a1_Hemp
R4_a1_Type I,226,Type I,R4_a1_Type I
Haleighs_Hope_a1_Type I,227,Type I,Haleighs_Hope_a1_Type I
Charlottes_Web_a1_Type I,228,Type I,Charlottes_Web_a1_Type I
Chocolope_b1_Type I,229,Type I,Chocolope_b1_Type I
4_Corners_x_Harliquinn_a1_Type I,230,Type II,4_Corners_x_Harliquinn_a1_Type II
Moonshot_a1_Type I,231,Type I,Moonshot_a1_Type I
White_Siberian_a1_Type I,232,Type I,White_Siberian_a1_Type I
Chunky_Skunk_a1_Type I,233,Type I,Chunky_Skunk_a1_Type I
Atomic_Northern_Lights_a1_Type I,234,Type I,Atomic_Northern_Lights_a1_Type I
NLM_a1_Landrace,235,Landrace,NLM_a1_Landrace
Court_Collars_Cough_a1_Landrace,236,Landrace,Court_Collars_Cough_a1_Landrace
Grape_God_A_a1_Landrace,237,Landrace,Grape_God_A_a1_Landrace
Taint_a1_Type I,238,Type I,Taint_a1_Type I
Harlequin_c1_Type I,239,Type I,Harlequin_c1_Type I
CannaTSU_b1_Type III,240,Type II,CannaTSU_b1_Type II
Canna_TSU_a1_Type III,241,Type II,Canna_TSU_a1_Type II
5_Pheno_Afghan_Dom_a1_Type I,242,Type I,5_Pheno_Afghan_Dom_a1_Type I
Orange_Crush_a1_Type I,243,Type I,Orange_Crush_a1_Type I
