,sample.id,EV1,EV2,EV3,EV4,Cultivar_Type,Type
144,sorted_bam/Guptilla_RSP10518_Drug_THC_sorted.bam,-0.097224913,0.047785692,-0.047342287,-0.059431877,Guptilla_Type I_not reported_RSP10518,Type I
148,sorted_bam/HARLE_TSU_1_RSP10098_Drug_CBD_sorted.bam,0.049722045,-0.018106182,-0.012454539,0.056137026,HARLE_TSU_1_Type I_F_RSP10098,Type I
152,sorted_bam/Hawaiian_Sunrise_RSP10525_Drug_THC_sorted.bam,0.03484613,0.039722882,0.027166427,-0.005329578,Hawaiian_Sunrise_Type I_not reported_RSP10525,Type I
154,sorted_bam/Headcheese_RSP10297_Drug_THC_sorted.bam,0.028760837,-0.04387058,-0.074662816,0.007386964,Headcheese_Type I_F_RSP10297,Type I
156,sorted_bam/In_the_Pines_RSP10172_Drug_THC_CBD_sorted.bam,0.065903391,0.03615631,-0.011654937,-0.016548986,In_the_Pines_Type I_F_RSP10172,Type I
158,sorted_bam/Jack_Herrer_RSP10587_Drug_THC_sorted.bam,0.07639849,-0.109093854,-0.093056262,0.021449342,Jack_Herrer_Type I_F_RSP10587,Type I
163,sorted_bam/Juneaus_Gift_RSP10547_Drug_THC_sorted.bam,0.014224625,-0.085493796,-0.00801166,0.00438012,Juneaus_Gift_Type I_F_RSP10547,Type I
164,sorted_bam/Killawatt_RSP10608_Drug_THC_sorted.bam,0.012439951,0.008448957,0.023946467,0.068290242,Killawatt_Type I_F_RSP10608,Type I
165,sorted_bam/Kimbo_Slice_1_RSP10949_Drug_THC_sorted.bam,-0.011685999,0.021557097,0.087490722,-0.004469301,Kimbo_Slice_1_Type I_F_RSP10949,Type I
166,sorted_bam/Kona_Kush_RSP10593_Drug_THC_sorted.bam,-0.040267007,0.014866069,-0.089654794,0.002882261,Kona_Kush_Type I_F_RSP10593,Type I
167,sorted_bam/Kong_RSP10161_Drug_THC_sorted.bam,-0.003073261,-0.004418724,-0.052135773,0.057460824,Kong_Type I_F_RSP10161,Type I
168,sorted_bam/Krishna_Kush_RSP10519_Drug_THC_sorted.bam,-0.018346037,0.085963882,0.003568384,-0.013126323,Krishna_Kush_Type I_not reported_RSP10519,Type I
174,sorted_bam/L_Eagle_Eagle_RSP10247_Drug_THC_sorted.bam,0.046335689,0.066434573,-0.007495831,-0.004618873,L_Eagle_Eagle_Type I_F_RSP10247,Type I
175,sorted_bam/Lemonhead_OG_RSP10180_Drug_THC_sorted.bam,-0.111188667,0.043612648,-0.081456943,-0.069863903,Lemonhead_OG_Type I_F_RSP10180,Type I
177,sorted_bam/Lemon_Skunk_1_RSP10193_Drug_THC_sorted.bam,-0.048139173,-0.022686921,-0.121247901,0.007634249,Lemon_Skunk_1_Type I_F_RSP10193,Type I
182,sorted_bam/Lucky_Charms_RSP10092_Drug_THC_sorted.bam,-0.033628387,-0.009597615,-0.054189041,-0.03514755,Lucky_Charms_Type I_F_RSP10092,Type I
183,sorted_bam/Mang_Thai_Doo_RSP10178_Drug_THC_sorted.bam,-0.087529782,-0.002843859,-0.02338731,-0.032757706,Mang_Thai_Doo_Type I_F_RSP10178,Type I
186,sorted_bam/Maui_Waui_RSP10251_Drug_THC_sorted.bam,0.046576784,0.072373851,-0.003837721,0.017254245,Maui_Waui_Type I_F_RSP10251,Type I
187,sorted_bam/McGrupp_6_RSP10959_Drug_THC_sorted.bam,0.004999345,0.038476089,-0.012978136,0.041224371,McGrupp_6_Type I_F_RSP10959,Type I
193,sorted_bam/Moonshine_Haze_RSP10067_Drug_THC_sorted.bam,0.086937951,-0.040468419,-0.027798826,-0.051130063,Moonshine_Haze_Type I_F_RSP10067,Type I
194,sorted_bam/Mothers_Milk_5_RSP10546_Drug_THC_sorted.bam,-0.06497459,-0.034662201,-0.077270944,-0.033011264,Mothers_Milk_5_Type I_F_RSP10546,Type I
195,sorted_bam/Mothers_Milk_RSP10598_Drug_THC_sorted.bam,-0.062227132,-0.023465338,-0.070241663,-0.04690011,Mothers_Milk_Type I_F_RSP10598,Type I
196,sorted_bam/Mount_Jones_5_RSP10964_Drug_THC_sorted.bam,0.000150269,0.02343477,-0.009190868,-0.050553555,Mount_Jones_5_Type I_F_RSP10964,Type I
197,sorted_bam/New_York_Sour_Diesel_RSP10599_Drug_THC_sorted.bam,-0.04512328,0.046683415,0.016198939,-0.05177669,New_York_Sour_Diesel_Type I_F_RSP10599,Type I
209,sorted_bam/Orange_Zeta_RSP10961_Drug_THC_sorted.bam,-0.031033895,-0.038192958,-0.008050331,-0.014571138,Orange_Zeta_Type I_F_RSP10961,Type I
210,sorted_bam/Orangutan_RSP10701_Drug_THC_sorted.bam,-0.044993127,0.038148446,0.01251544,0.069226436,Orangutan_Type I_F_RSP10701,Type I
212,sorted_bam/Outer_Space_RSP10591_Drug_THC_sorted.bam,0.045464274,0.025000789,0.023065227,-0.010030563,Outer_Space_Type I_F_RSP10591,Type I
213,sorted_bam/Pineapple_Express_RSP10429_Drug_THC_sorted.bam,0.073899813,-0.052657097,-0.103054315,0.032800704,Pineapple_Express_Type I_F_RSP10429,Type I
217,sorted_bam/Plum_Crazy_RSP10848_Drug_THC_sorted.bam,-0.065859423,-0.00255596,-0.00887569,-0.016629647,Plum_Crazy_Type I_F_RSP10848,Type I
218,sorted_bam/Primus_OG_1_RSP10585_Drug_THC_sorted.bam,-0.036531263,0.02483008,0.027041392,0.142101046,Primus_OG_1_Type I_F_RSP10585,Type I
219,sorted_bam/Primus_OG_2_RSP10596_Drug_THC_sorted.bam,-0.032245964,0.018278043,0.029744461,0.127628874,Primus_OG_2_Type I_F_RSP10596,Type I
222,sorted_bam/Purple_Cactus_4_RSP10963_Drug_THC_sorted.bam,0.025407965,-0.032131582,-0.011919319,0.032520452,Purple_Cactus_4_Type I_F_RSP10963,Type I
223,sorted_bam/Purple_Candy_Cane_RSP10176_Drug_THC_sorted.bam,0.05407023,0.044216201,-0.019323448,0.051168839,Purple_Candy_Cane_Type I_F_RSP10176,Type I
228,sorted_bam/Sage_N_Sour_RSP10089_Drug_THC_sorted.bam,-0.028482881,-0.003446042,-0.012514572,0.053575406,Sage_N_Sour_Type I_F_RSP10089,Type I
229,sorted_bam/Saint_Jack_1_RSP10210_Drug_THC_sorted.bam,0.020110274,-0.016620461,0.073186251,-0.068012384,Saint_Jack_1_Type I_F_RSP10210,Type I
230,sorted_bam/Saint_Jack_2_RSP10210_Drug_THC_sorted.bam,0.077891026,-0.112034304,-0.096246695,0.018865125,Saint_Jack_2_Type I_F_RSP10210,Type I
232,sorted_bam/Serious_Happiness_1_RSP10121_Drug_THC_sorted.bam,0.026253762,-0.01475009,-0.026376481,0.015517072,Serious_Happiness_1_Type I_F_RSP10121,Type I
233,sorted_bam/Skywalker_OG_1_RSP10477_Drug_THC_sorted.bam,-0.175857929,0.028318706,-0.062822799,-0.081589772,Skywalker_OG_1_Type I_not reported_RSP10477,Type I
235,sorted_bam/Snoop_Master_RSP10584_Drug_THC_sorted.bam,-0.091333612,0.025822,-0.00168862,0.053283358,Snoop_Master_Type I_F_RSP10584,Type I
238,sorted_bam/Snowcap_2_RSP10194_Drug_THC_sorted.bam,0.049073729,0.013551071,-0.008792448,0.046933351,Snowcap_2_Type I_F_RSP10194,Type I
239,sorted_bam/Snow_Temple_RSP10544_Drug_THC_sorted.bam,0.057498962,-0.01456529,0.006969103,-0.070136538,Snow_Temple_Type I_F_RSP10544,Type I
243,sorted_bam/Sour_Kush_RSP10600_Drug_THC_sorted.bam,-0.015365355,0.049749306,0.072095419,-0.004150158,Sour_Kush_Type I_F_RSP10600,Type I
245,sorted_bam/Sour_Tsunami_2_RSP10595_Drug_THC_sorted.bam,0.017587038,0.048641415,-0.04762039,-0.003292666,Sour_Tsunami_2_Type I_F_RSP10595,Type I
250,sorted_bam/Strawberry_Cough_1_RSP10679_Drug_THC_sorted.bam,-0.006330226,0.017812162,0.126672945,0.099080678,Strawberry_Cough_1_Type I_F_RSP10679,Type I
252,sorted_bam/Strawberry_Lemonade_RSP10588_Drug_THC_sorted.bam,-0.004580121,0.017565757,0.017497979,0.000922472,Strawberry_Lemonade_Type I_F_RSP10588,Type I
253,sorted_bam/Sugar_Black_Rose_RSP10962_Drug_THC_sorted.bam,0.002766979,-0.057394084,-0.004775043,-0.041506693,Sugar_Black_Rose_Type I_F_RSP10962,Type I
