name,hcpc_order,check,BAR
Divided_Sky_Type I_F_RSP10624,85,Divided_Sky_Type I_F_RSP10624,Type I
CANNATONIC_1_Type II_F_RSP10082,86,CANNATONIC_1_Type II_F_RSP10082,Type II
Recon_1_no info_F_RSP10108,87,Recon_1_no info_F_RSP10108,no info
Master_Banana_Pheno_7_no info_not reported_RSP10480,88,Master_Banana_Pheno_7_no info_not reported_RSP10480,no info
Super_Jack_Type I_F_RSP10586,89,Super_Jack_Type I_F_RSP10586,Type I
Moonshine_Haze_Type I_F_RSP10067,90,Moonshine_Haze_Type I_F_RSP10067,Type I
Purple_Buddha_no info_M_RSP10200,91,Purple_Buddha_no info_M_RSP10200,no info
Master_Banana_Pheno_8_no info_not reported_RSP10479,92,Master_Banana_Pheno_8_no info_not reported_RSP10479,no info
Clementine_1_Type I_F_RSP10543,93,Clementine_1_Type I_F_RSP10543,Type I
Durban_Poison_1a_no info_F_RSP10943,94,Durban_Poison_1a_no info_F_RSP10943,no info
Durban_Poison_1_Type I_F_RSP10150,95,Durban_Poison_1_Type I_F_RSP10150,Type I
Durban_no info_F_RSP10133,96,Durban_no info_F_RSP10133,no info
White_Russian_Type I_F_RSP10175,97,White_Russian_Type I_F_RSP10175,Type I
Amnesia_Haze_Type I_F_RSP10299,98,Amnesia_Haze_Type I_F_RSP10299,Type I
White_Lemon_no info_not reported_RSP10431,99,White_Lemon_no info_not reported_RSP10431,no info
Space_Queen_no info_F_RSP10128,100,Space_Queen_no info_F_RSP10128,no info
Headcheese_Type I_F_RSP10297,101,Headcheese_Type I_F_RSP10297,Type I
Dr_Who_Type I_F_RSP10066,102,Dr_Who_Type I_F_RSP10066,Type I
African_Haze_no info_F_RSP10159,103,African_Haze_no info_F_RSP10159,no info
Green_Crack_2_Type I_F_RSP10166,104,Green_Crack_2_Type I_F_RSP10166,Type I
Blue_Dream_13_Type I_not reported_RSP10622,105,Blue_Dream_13_Type I_not reported_RSP10622,Type I
Cheese_1_no info_not reported_RSP10459,106,Cheese_1_no info_not reported_RSP10459,no info
Fire_Angel_2_Type II_F_RSP10611,107,Fire_Angel_2_Type II_F_RSP10611,Type II
Fire_Angel_1_Type II_F_RSP10298,108,Fire_Angel_1_Type II_F_RSP10298,Type II
Lovrin_1_no info_F_RSP10059,109,Lovrin_1_no info_F_RSP10059,no info
Lovrin_2_no info_F_RSP10239,110,Lovrin_2_no info_F_RSP10239,no info
Tisza_2_no info_F_RSP10240,111,Tisza_2_no info_F_RSP10240,no info
Ferimon_no info_F_RSP10063,112,Ferimon_no info_F_RSP10063,no info
Tisza_1_no info_M_RSP10060,113,Tisza_1_no info_M_RSP10060,no info
Futura_75_3_no info_F_RSP10234,114,Futura_75_3_no info_F_RSP10234,no info
Monoica_1_no info_F_RSP10061,115,Monoica_1_no info_F_RSP10061,no info
Fedora_17_2_no info_F_RSP10062,116,Fedora_17_2_no info_F_RSP10062,no info
Ivory_1_no info_F_RSP10065,117,Ivory_1_no info_F_RSP10065,no info
Tygra_1_no info_F_RSP10064,118,Tygra_1_no info_F_RSP10064,no info
Tygra_2_no info_not reported_RSP10623,119,Tygra_2_no info_not reported_RSP10623,no info
Acrata_Trainwreck_Type I_F_RSP10301,120,Acrata_Trainwreck_Type I_F_RSP10301,Type I
Dacia_2_no info_F_RSP10238,121,Dacia_2_no info_F_RSP10238,no info
Carmagnola_2_no info_M_RSP10237,122,Carmagnola_2_no info_M_RSP10237,no info
Felina32_2_no info_F_RSP10232,123,Felina32_2_no info_F_RSP10232,no info
CATATONIC_AC_DC_Type III_F_RSP10072,124,CATATONIC_AC_DC_Type III_F_RSP10072,Type III
CBDI_AC_DC_Type III_F_RSP10103,125,CBDI_AC_DC_Type III_F_RSP10103,Type III
AC/DC_Type III_F_RSP10084,126,AC/DC_Type III_F_RSP10084,Type III
BHUTAN_Type III_F_RSP10079,127,BHUTAN_Type III_F_RSP10079,Type III
Wife_1_no info_not reported_RSP10447,128,Wife_1_no info_not reported_RSP10447,no info
Cherry_1_no info_not reported_RSP10445,129,Cherry_1_no info_not reported_RSP10445,no info
Sour_Tsunami_1_Type III_F_RSP10384,130,Sour_Tsunami_1_Type III_F_RSP10384,Type III
Snow_Temple_Type I_F_RSP10544,131,Snow_Temple_Type I_F_RSP10544,Type I
CBD_Strain_no info_F_RSP10358,132,CBD_Strain_no info_F_RSP10358,CBD_Strain_no info_F_RSP10358
Jiangji_1_no info_F_RSP10236,133,Jiangji_1_no info_F_RSP10236,no info
