,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type,,HCPC
143,sorted_bam/SRR3495305_1_sort.bam,0.06568497,-0.068190312,-0.163451332,0.188293965,Afghan_Mango_3,Type I,_,Afghan_Mango_3_Type I
144,sorted_bam/SRR3495306_1_sort.bam,0.046852736,-0.055670527,-0.117592168,0.140907414,Blue_OG,Type I,_,Blue_OG_Type I
145,sorted_bam/SRR3495307_1_sort.bam,0.089298812,-0.001470529,-0.097244118,0.062892263,Pineapple,Type I,_,Pineapple_Type I
146,sorted_bam/SRR3495308_1_sort.bam,-0.243112705,0.096935734,-0.125538281,0.02339439,Platinum_OG,Type I,_,Platinum_OG_Type I
147,sorted_bam/SRR3495309_1_sort.bam,0.004123731,-0.02502788,0.013206854,0.024665185,Holy_Grail_2,Type I,_,Holy_Grail_2_Type I
148,sorted_bam/SRR3495310_1_sort.bam,0.017449083,-0.083683263,0.033888407,0.024964231,Grapefruit,Type I,_,Grapefruit_Type I
149,sorted_bam/SRR3495311_1_sort.bam,-0.147680945,0.053659972,-0.089127308,-0.023385267,Purple_Kryptonite,Type I,_,Purple_Kryptonite_Type I
150,sorted_bam/SRR3495312_1_sort.bam,0.062598882,0.133800604,-0.064134227,0.073709553,Grape_Kush_2,Type I,_,Grape_Kush_2_Type I
151,sorted_bam/SRR3495313_1_sort.bam,0.048647044,0.017989537,-0.060379947,-0.047790887,Cheesequake,Type I,_,Cheesequake_Type I
152,sorted_bam/SRR3495314_1_sort.bam,-0.08653188,0.093830478,-0.09185879,0.036289046,Blueberry,Type I,_,Blueberry_Type I
153,sorted_bam/SRR3495315_1_sort.bam,-0.203545326,0.080951277,-0.088322492,0.027603233,True_Kosher_Kush,Type I,_,True_Kosher_Kush_Type I
154,sorted_bam/SRR3495316_1_sort.bam,-0.177148444,0.088667439,-0.07258612,0.014019648,Gin_2,Unknown,_,Gin_2_Unknown
155,sorted_bam/SRR3495317_1_sort.bam,-0.044239714,0.105843451,0.028231099,-0.041498368,J7,Type I,_,J7_Type I
156,sorted_bam/SRR3495318_1_sort.bam,0.073190284,-0.044037669,-0.04180627,0.167288482,Bubble_Gum,Type I,_,Bubble_Gum_Type I
157,sorted_bam/SRR3495319_1_sort.bam,-0.019219968,0.123924071,0.030443712,-0.046165014,J28,Unknown,_,J28_Unknown
158,sorted_bam/SRR3495320_1_sort.bam,-0.022511803,0.08204491,-0.002938483,-0.079206172,Feral_Nebraska_2,Landrace,_,Feral_Nebraska_2_Landrace
159,sorted_bam/SRR3495321_1_sort.bam,-0.020439415,0.100627506,0.029495318,-0.039098667,J20,Unknown,_,J20_Unknown
160,sorted_bam/SRR3495322_1_sort.bam,-0.095303189,0.016391868,-0.107078235,0.013749834,Medibud,Type I,_,Medibud_Type I
161,sorted_bam/SRR3495323_1_sort.bam,-0.003504895,-0.03971386,0.020469199,-0.049212124,Cripped_Out_Cookies,Type I,_,Cripped_Out_Cookies_Type I
162,sorted_bam/SRR3495324_1_sort.bam,-0.101983632,-0.15159582,0.083328613,0.011157842,Dog_Walker,Type I,_,Dog_Walker_Type I
